id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4673732523857438,KuW7qgbuK,7480456899,毛绒娃娃小布丁,河南TCL电视保修期内售后套路收费！河南省售后服务经理说话霸气，不给钱拒修！请问TCL电视机相关领导一台不到八个月的43寸电视机出现质量问题为什么要收费，还说不给钱不修，你们觉得一个年纪大了的人好欺负是吧？你们不觉得这样欺负人缺德吗？常言道君子爱财取之有道，你们这样做像不像打劫，下三滥，如果是人为故障，你们可以随便要钱爱修不修，换个屏要价上千元，打电话投诉让河南省售后一个姓王的经理态度蛮横，说投诉他们不高兴了爱怎么就怎么直接拒绝修理，后来在其他维修站200元修好了，虽然钱不多做事让人太生气，这次骗局没有让你们满意吧？你觉得下次还会买TCL产品吗，不敢买怕你们了，虽然这次他们骗局没成功，也不知道有多少人曾经被他们套路过，骗过，今天公开就是让你们知道这些售后套路，避免在上当受骗，,,,,,0,0,0,2021-08-24 14:56,HUAWEI P40 5G,,,
4673679281356841,KuUJy5GYx,5640310234,思元凑整YLT1c0,我发表了头条文章:《TCL电视售后维修电话-(TCL)全国统一官方网站400电话服务中心》OTCL电视售后维修电话-(TCL)全国统一官方网站400电话服务中心,,,,,0,0,0,2021-08-24 11:23,iPhone客户端,,,
4673653453621698,KuU3Tfcau,7672425075,用户9091296119,发布了头条文章：《大连TCL电视售后服务热线-(24小时网点)售后服务400热线中心》O大连TCL电视售后服务热线-(24小时网点)售后服务400热线中心,http://t.cn/A6IWRj8y,,,,0,0,0,2021-08-24 09:41,微博 weibo.com,,,
4673645894700390,KuTRHjIMK,7621695523,028-83418898-1,发布了头条文章：《成都TCL电视售后维修电话丨TCL电视机丨全国统一官方网站服务中心》O成都TCL电视售后维修电话丨TCL电视机丨全国统一官方网站服务中心,http://t.cn/A6IWQRyh,,,,0,0,0,2021-08-24 09:11,微博 weibo.com,,,
4673441070060509,KuOxl0fJX,7678272566,用户9637791938,发布了头条文章：《武汉TCL电视售后维修电话丨人工在线丨全市统一官方网站服务中心》O武汉TCL电视售后维修电话丨人工在线丨全市统一官方网站服务中心,http://t.cn/A6IWPfzA,,,,0,0,0,2021-08-23 19:37,微博 weibo.com,,,
4673165371115228,KuHmF4G7y,7678433229,用户9576007333,发布了头条文章：《江门TCL电视售后维修电话丨TCL电视丨全国统一官方网站服务中心》O江门TCL电视售后维修电话丨TCL电视丨全国统一官方网站服务中心,http://t.cn/A6I03PLN,,,,0,0,0,2021-08-23 01:21,微博 weibo.com,,,
4673129920338957,KuGru1qb3,7669302396,用户8841723861,发布了头条文章：《海口TCL电视售后维修电话丨TCL丨全国统一官方网站服务》O海口TCL电视售后维修电话丨TCL丨全国统一官方网站服务,http://t.cn/A6I0Tiwf,,,,0,0,0,2021-08-22 23:00,微博 weibo.com,,,
4673116078345808,KuG59z17O,7678272566,用户9637791938,发布了头条文章：《沈阳TCL电视售后维修电话丨TCL电器丨全市统一官方网站服务中心》O沈阳TCL电视售后维修电话丨TCL电器丨全市统一官方网站服务中心,http://t.cn/A6I0lUvc,,,,0,0,0,2021-08-22 22:05,微博 weibo.com,,,
4673111088436340,KuFX6zoG0,7604847451,维修0034,发布了头条文章：《TCL电视售后维修电话24小时热线-(2021)全国统一官方400服务中心》OTCL电视售后维修电话24小时热线-(2021)全国统一官方400服务中心,http://t.cn/A6I0WhgW,,,,0,0,0,2021-08-22 21:46,微博 weibo.com,,,
4673107300456562,KuFR01ULU,7676914668,用户7676914668,TCL电视真是牛，买个电视放在地上车库坏了，竟然说我使用环境不好，怎么不说你家电视一年需要维修一次呢，,,,,,0,1,0,2021-08-22 21:31,Redmi Note 8 Pro四摄,"['http://ww1.sinaimg.cn/large/008nxyckly1gtpw1rqco0j30u01t043v.jpg', 'http://ww1.sinaimg.cn/large/008nxyckly1gtpw2evmwwj30u01t043n.jpg']",,
4673031143689155,KuDSaftIv,7654880387,用户7654880387,我发表了头条文章:《TCL电视售后维修电话-(TCL)全国统一官方网站400电话服务中心》OTCL电视售后维修电话-(TCL)全国统一官方网站400电话服务中心,,,,,0,0,0,2021-08-22 16:28,iPhone客户端,,,
4673028934602770,KuDOBjjoe,6575114387,用户6575114387,京东自营店买的TCL电视订单编号199728252997，刚买一个月时间我儿子刚好一岁的小朋友，用手拍了下电视直接坏掉了，京东排师傅上门检测，检测单也么有写人为，京东客服打电话过来说协商陪标二百块钱，我们么有同意现在一直拖着不给解决！希望京东可以重视你们的售后问题@京东今年买的第二个TCL电视，第一个是用拖地的时候拖把撞了下坏了售后说是折旧一百五回收走了，TCL质量真的不咋的希望你们拍专业人士来鉴定下你们的产品质量@TCL家电@TCL通讯中国刚买一个月时间我儿子刚好一岁的小朋友，用手拍了下电视直接坏掉了，京东排师傅上门检测，检测单也么有写人为，京东客服打电话过来说协商陪标二百块钱，我们么有同意现在一直拖着不给解决！希望京东可以重视你们的售后问题@京东客服@京东@京东家电今年买的第二个TCL电视，第一个是用拖地的时候拖把撞了下坏了售后说是折旧一百五回收走了，TCL质量真的不咋的希望你们拍专业人士来鉴定下你们的产品质量@TCL家电@TCL通讯中国,,,"京东,TCL家电,TCL通讯中国,京东客服,京东家电",,0,1,0,2021-08-22 16:19,iPhone客户端,,,
